"Click here to select your ParcelShop", "Wybierz paczkomat"
"Click here to change your ParcelShop", "Wybierz paczkomat"
"Ship to this Pickup point.", "Wybierz paczkomat"
"Opening hours", "Godziny otwarcia"
"maandag", "Poniedziałek"
"dinsdag", "Wtorek"
"woensdag", "Środa"
"donderdag", "Czwartek"
"vrijdag", "Piątek"
"zaterdag", "Sobota"
"zondag", "Niedziela"
"Closed", "Zamknięte"
