"Click here to select your ParcelShop", "Seleccionar paquetería"
"Click here to change your ParcelShop", "Seleccionar paquetería"
"Ship to this Pickup point.", "Seleccionar paquetería"
"Opening hours", "Horario de apertura"
"maandag", "Lunes"
"dinsdag", "Martes"
"woensdag", "Miércoles"
"donderdag", "Jueves"
"vrijdag", "Viernes"
"zaterdag", "Sábado"
"zondag", "Domingo"
"Closed", "Cerrado"
