"Click here to select your ParcelShop", "Paketshop auswählen"
"Click here to change your ParcelShop", "Paketshop auswählen"
"Ship to this Pickup point.", "Paketshop auswählen"
"Opening hours", "Öffnungszeiten"
"maandag", "Montag"
"dinsdag", "Dienstag"
"woensdag", "Mittwoch"
"donderdag", "Donnerstag"
"vrijdag", "Freitag"
"zaterdag", "Samstag"
"zondag", "Sonntag"
"Closed", "Geschlossen"
